metric,gold_model,description,formula,grain,source_status,source_system,source_table,source_column,notes
contract_revenue,fct_revenue_monthly,Total contract value for fix cost project,,project,missing,maria_erp,projects_contract,contract_revenue,Currently using tabProject.total_sales_amount as fallback
complete_rate_plan,fct_revenue_monthly,Planned monthly completion rate (cumulative),,month × project,missing,maria_erp,fixcost_delivery_plan,complete_rate,Monthly plan completion rate per project
complete_rate_actual,fct_revenue_monthly,Actual monthly completion rate (cumulative),,month × project,missing,maria_erp,fixcost_delivery_plan,actual_complete_rate,Monthly actual completion rate per project
fixcost_revenue_forecast,fct_revenue_monthly,Fix cost project forecast revenue (monthly),contract_revenue × (this_month_plan_rate - last_month_plan_rate),month × project,missing,,,,Calculated: delta-based not absolute
fixcost_revenue_actual,fct_revenue_monthly,Fix cost project actual revenue (monthly),contract_revenue × (this_month_actual_rate - last_month_actual_rate),month × project,missing,,,,Calculated: delta-based not absolute
employee_rate,fct_revenue_monthly,Hourly billing rate per employee on teambase project,,employee × project,missing,maria_erp,project_contract_headcount,rate,Rate in $/hour per employee per project
employee_code,rpt_revenue_by_member,Employee code linking project user to employee,,employee × project,missing,maria_erp,tabProject User,employee_code,Links ERPNext project member to employee record
effort_rate,rpt_revenue_by_member,Employee effort allocation rate on project,,employee × project,missing,maria_erp,tabProject User,effort_rate,Proportion of time allocated to project
performance_rate,rpt_revenue_by_member,Employee performance rate (0.1-0.3),,employee × project,missing,maria_erp,tabProject User,performance_rate,Multiplier for revenue allocation on fix cost projects
teambase_member_revenue_forecast,rpt_revenue_by_member,Teambase member forecast revenue (monthly),employee_rate × 8 × plan_working_days,month × employee × project,missing,,,,Calculated: rate × forecast hours
teambase_member_revenue_actual,rpt_revenue_by_member,Teambase member actual revenue (monthly),employee_rate × actual_hours,month × employee × project,missing,,,,Calculated: rate × actual hours logged
fixcost_member_revenue,rpt_revenue_by_member,Fix cost member revenue allocation,(effort / total_effort) × performance_rate × monthly_project_revenue,month × employee × project,missing,,,,Calculated: needs effort_rate and performance_rate from tabProject User
total_effort,rpt_revenue_by_member,Total effort hours per employee per month,working_days × 8 × effort_rate,month × employee,missing,,,,Calculated: from dim_date working days and tabProject User effort_rate
direct_cost,fct_cost_monthly,Employee direct cost (used instead of base_salary for cost calc),,employee,missing,maria_erp,employee_direct_cost,direct_cost,Direct cost per employee; replaces base_salary in cost formulas
project_bonus,fct_cost_monthly,Project bonus per employee,,employee,missing,maria_erp,employee_direct_cost,project_bonus,Bonus allocated per project period
cost_member_forecast,fct_cost_monthly,Member cost forecast (monthly),direct_cost × (plan_working_day / total_working_day) + project_bonus × (plan_working_day / total_working_day),month × employee × project,missing,,,,Calculated: prorated by planned working days
cost_member_actual,fct_cost_monthly,Member cost actual (monthly),direct_cost × (actual_working_day / total_working_day) + project_bonus × (actual_working_day / total_working_day) + salary × (OT_hour / 8 / total_working_day),month × employee × project,missing,,,,Calculated: prorated by actual working days + OT
fixcost_project_package,fct_cost_monthly,Package-level cost for fix cost projects,,month × project,missing,maria_erp,fixcost_project_package,,Additional project package cost prorated by working days
fixcost_project_cost,rpt_cost_summary,Fix cost project total cost (monthly),SUM(member_cost) + (project_package × working_day / total_working_day),month × project,missing,,,,Calculated: member costs + package costs
teambase_project_cost,rpt_cost_summary,Teambase project total cost (monthly),SUM(member_cost),month × project,missing,,,,Calculated: sum of all teambase member costs
production_cost,rpt_cost_summary,Total production cost = project expense,SUM(fixcost_project_cost) + SUM(teambase_project_cost),month × division,missing,,,,Calculated: fix cost + teambase project costs
hr_cost,rpt_cost_summary,Human resource cost (interview activities),SUM(headcount_rate × total_interview_hours),month × division,missing,,,,Needs: interview hour tracking by employee
training_cost,rpt_cost_summary,Training and resource pool cost,SUM(headcount_rate × training_or_RP_hours),month × division,missing,,,,Needs: training/RP hour tracking by employee
presale_cost,rpt_cost_summary,Presale cost,SUM(headcount_rate × presale_project_hours),month × division,missing,,,,Needs: presale project hour tracking by employee
resource_pool_cost,rpt_cost_summary,Resource pool employee cost,,month × division,missing,,,,Pool employee salary cost; needs pool project assignment
actual_working_days,fct_cost_monthly / fct_revenue_monthly,Actual working days per employee on project in month,,month × employee × project,missing,,,,Needs: timesheet or tabProject User effort tracking
plan_working_days,fct_cost_monthly / fct_revenue_monthly,Planned working days per employee on project in month,,month × employee × project,missing,,,,Derived from project start/end dates and dim_date working days
overtime_hours,fct_cost_monthly,Overtime hours per employee per month,,month × employee,missing,postgres_timesheet,adjusted_attendance_register,,May exist in adjusted_attendance_register; column name TBD
revenue_target,rpt_monthly_pnl,Revenue target/budget,,month,missing,,,,Source TBD; mentioned in requirements Data List as from CRM
cost_target,rpt_monthly_pnl,Cost target/budget,,month,missing,,,,Source TBD; mentioned in requirements Data List
pnl_forecast,rpt_monthly_pnl,P&L forecast ratio,(cost_forecast / revenue_forecast) × 100%,month × division,missing,,,,Calculated: cost ratio not profit margin
pnl_actual,rpt_monthly_pnl,P&L actual ratio,(cost_actual / revenue_actual) × 100%,month × division,missing,,,,Calculated: cost ratio not profit margin
billable_rate,rpt_rate_metrics,Billable rate by division/company,(headcount_in_billable_projects / total_headcount) × 100%,month × division,missing,,,,Calculated: needs project assignment data
busy_rate,rpt_rate_metrics,Busy rate by division/company,(headcount_in_BILLABLE + HR_projects / total_headcount) × 100%; exclude presale/internal/training,month × division,missing,,,,Calculated: needs project assignment + project type classification
available_headcount,rpt_hr_summary,Available headcount (pool),COUNT headcount in POOL projects,month × division,missing,,,,Calculated: needs pool project assignment
dev_avg_salary,rpt_hr_summary,Developer average salary,total_salary / total_headcount,month × division,missing,,,,Calculated: needs salary + active headcount
turnover_rate,rpt_hr_summary,Employee turnover rate,(departed_count / avg_headcount) × 100%,month × division,missing,,,,Needs: employee departure/termination data
outsource_hc,rpt_hr_summary,Outsource/external headcount,,month × division,missing,,,,Needs: employment_type or contract_type classification
internal_hc,rpt_hr_summary,Internal headcount,,month × division,missing,,,,Needs: employment_type or contract_type classification
training_hc,rpt_hr_summary,Headcount in training projects,,month × division,missing,,,,Needs: project assignment to training-type projects
employee_performance_summary,rpt_employee_performance,Employee revenue/cost/profit contribution,avg_revenue_rate × effort_rate × performance_rate (revenue); direct_cost prorated (cost),month × employee × project,missing,,,,Needs: tabProject User + employee_direct_cost + timesheet
project_division_mapping,rpt_revenue_by_project / rpt_cost_summary,Which division a project belongs to,,project,missing,,,,Needs: project→division lookup; may be in savvycom_project_project.unit_id→savvycom_unit or tabProject.department
